,last_scraped,host_name,host_since,host_location,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,Unnamed: 0,id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,2024-09-18,Frank,2008-12-03,"Massachusetts, United States",within a day,t,t,f,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2015-07-10,2024-08-09,STR-490093,f,0,3781,4804,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,125.0,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,0,0,26.0,2.0,0.0,4.96,5.0,4.96,5.0,4.85,1.0,0.0,0.0,0.23
1,2024-09-18,Terry,2009-02-19,"Boston, MA",within an hour,t,t,t,Entire guest suite,Entire home/apt,1 bath,t,2024-09-18,2009-03-21,2024-08-29,STR-490093,f,1,5506,8229,1.0,0.99,11.0,14.0,2.0,1.0,1.0,1.0,142.0,3.0,90,1.0,3.0,1125.0,1125.0,3.0,1125.0,1,50,128.0,9.0,2.0,4.8,4.88,4.9,4.95,4.57,10.0,0.0,0.0,0.68
2,2024-09-18,Terry,2009-02-19,"Boston, MA",within an hour,t,t,t,Entire condo,Entire home/apt,1 bath,t,2024-09-18,2009-08-06,2024-08-18,STR-491702,f,2,6695,8229,1.0,0.99,11.0,14.0,4.0,1.0,0.0,2.0,171.0,3.0,730,1.0,3.0,730.0,730.0,3.0,730.0,0,43,21.0,7.0,0.0,4.81,4.82,4.87,4.9,4.52,10.0,0.0,0.0,0.72
3,2024-09-18,Anne,2009-07-22,"Boston, MA",within a few hours,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2014-08-12,2024-05-15,STR-454024,f,3,8789,26988,1.0,1.0,8.0,32.0,2.0,1.0,1.0,2.0,125.0,14.2,365,13.3,91.0,365.0,365.0,15.0,365.0,0,0,29.0,2.0,0.0,4.69,4.69,4.55,4.93,4.97,4.0,0.0,0.0,0.24
4,2024-09-18,Michelle,2009-09-16,"Boston, MA",within a few hours,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2016-01-09,2019-07-22,STR-454024,f,4,10811,38997,1.0,1.0,22.0,29.0,3.0,1.0,0.0,1.0,130.0,14.2,1125,13.3,91.0,1125.0,1125.0,15.0,1125.0,0,42,9.0,0.0,0.0,4.33,4.44,4.67,4.9,5.0,13.0,0.0,0.0,0.09
5,2024-09-18,Michelle,2009-09-16,"Boston, MA",within a few hours,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2019-03-17,2023-11-19,STR-454024,f,5,10813,38997,1.0,1.0,22.0,29.0,2.0,1.0,0.0,1.0,117.0,32.0,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,1,49,5.0,1.0,0.0,5.0,5.0,4.8,5.0,5.0,13.0,0.0,0.0,0.07
6,2024-09-18,Michelle,2009-09-16,"Boston, MA",within a few hours,f,t,t,Entire condo,Entire home/apt,1 bath,t,2024-09-18,2024-01-05,2024-01-05,STR-454024,f,6,10986,38997,1.0,1.0,22.0,29.0,2.0,1.0,0.0,1.0,130.0,32.0,1125,30.0,32.0,1125.0,1125.0,31.9,1125.0,0,41,1.0,1.0,0.0,4.8,5.0,4.8,4.9,5.0,13.0,0.0,0.0,0.12
7,2024-09-18,Lance,2010-01-19,"Boston, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2010-05-12,2023-08-19,STR-454024,t,7,18711,71783,1.0,0.98,30.0,68.0,7.0,1.0,3.0,3.0,143.0,30.0,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,17,52.0,0.0,0.0,4.31,4.5,4.71,4.9,4.24,14.0,0.8,0.0,0.3
8,2024-09-18,Elizabeth,2010-05-19,"Boston, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2010-05-24,2023-09-13,STR-454024,f,8,29765,128280,1.0,0.9,1.0,4.0,2.0,1.2,1.0,1.0,213.0,2.0,28,2.0,2.0,28.0,28.0,2.0,28.0,0,0,101.0,0.0,0.0,4.97,4.96,4.97,5.0,4.8,1.0,0.0,0.0,0.58
9,2024-09-18,Robert,2010-07-20,"Boston, MA",within a few hours,t,t,t,Private room in home,Private room,1.5 baths,t,2024-09-18,2010-08-27,2024-08-10,STR-551851,f,9,40601,174986,1.0,1.0,1.0,1.0,2.0,1.5,1.0,1.0,102.0,29.0,120,18.0,29.0,120.0,120.0,28.0,120.0,17,21,100.0,5.0,0.0,4.98,4.95,5.0,4.97,4.93,0.0,1.0,0.0,0.58
